Subject,Question,Option1,Option2,Option3,Option4,CorrectAnswer
1,If a particle moves in a circular path of radius r with constant speed v, the acceleration is given by ?,v²/r,vr²,rv²,r²/v,1
Subject,Question,Option1,Option2,Option3,Option4,CorrectAnswer
1,"If a particle moves in a circular path of radius r with constant speed v, the acceleration is given by ?",v²/r,vr²,rv²,r²/v,1
1,"In a Young's double-slit experiment the fringe width is directly proportional to which of the following ?",Wavelength,"Slit separation","Screen distance from slit",Intensity,3
2,"Which of the following is the strongest acid in aqueous solution ?",HClO4,HCl,H2SO4,HNO3,1
2,"For the reaction 2A → B + C, the order of reaction is 1. If initial concentration of A is doubled, the rate will ?",Double,Triple,Quadruple,"Remain same",1
3,"If f(x) = x³ − 3x + 2, then f′(2) = ?",9,7,5,3,2
3,"The roots of the quadratic equation x² − 5x + 6 = 0 are ?","2 & 3","−2 & 3","1 & 6","−3 & −2",1
1,"The work done by a conservative force over a closed path is ?",Zero,"Equal to potential energy",Positive,Negative,1
2,"Which gas law best describes the relationship when temperature is constant ?","Boyle's law","Charles's law","Avogadro's law","Raoult's law",1
3,"If a line has slope 2 and passes through (1,3), the equation of the line is ?","y = 2x + 1","y = 2x + 3","y = 2x − 1","y = x + 2",1
2,Which of the following is the strongest acid in aqueous solution ?,HClO4,HCl,H2SO4,HNO3,1
2,For the reaction 2A → B + C, the order of reaction is 1. If initial concentration of A is doubled, the rate will ?,Double,Triple,Quadruple,Remain same,1
3,If f(x) = x³ − 3x + 2, then f′(2) = ?,9,7,5,3,2
3,The roots of the quadratic equation x² − 5x + 6 = 0 are ?,2 & 3,−2 & 3,1 & 6,−3 & −2,1
1,The work done by a conservative force over a closed path is ?,Zero,Equal to potential energy,Positive,Negative,1
2,Which gas law best describes the relationship when temperature is constant ?,Boyle’s law,Charles’s law,Avogadro’s law,Raoult’s law,1
3,If a line has slope 2 and passes through (1,3), the equation of the line is ?,y = 2x + 1,y = 2x + 3,y = 2x − 1,y = x + 2,1
